pair_contract_address, Token0_contract_address, Token0_decimals, Token0_name, Token0_symbol, Token1_contract_address, Token1_decimals, Token1_name, Token1_symbol
0x78A6873933c313BCac2b1Fb71ef3FDe6D6116358,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xAbAd5F825d2469E7B1fB7A77e159eCe3E639FF6a,9,"ArbiMoon","AMOON"
0x7f59B27953BD36b7B3a81c34C964377D465BF0F0,0x0BE7552Ca38cBdA54655F1AADE4721e86ACCb180,8,"ADONDA","ADONDA",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0x52510FEDA6027509E5b859FB8b89f09c7C9B42cC,0x275155Ff93B203B594A2D38202F84CcB83c1cb8C,18,"SafeArbimoon","Safemoon",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0xCb4CD16a4e414EB2B7dB6218ED36Aec4FEe1F7C7,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xea6Cc62012C73A01e5Ade75a6aA37D93cC21522C,8,"ASS","ASS"
0x32F93058EA4F660B7bd5f7aF2ac562E93dF00dF7,0x64796a29CAFb7A99f52BD70E0f4De941e183f5B4,9,"ArbiMoon","AMOON",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0xB2Be02f60bB94972D70bC58b1586A94DCD4Fc52B,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0x9cB696A5AF0EFCA36953f68859BA2c44b21C0e32,8,"ARB MYSTERY","AMYSTERY"
0x4136831f8DA463D9460d96A76206b94767de9C92,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0x9f3668E1c32571B0d50eF1ebF925d36424361df4,9,"ArbiShihTzu","ArbiShTzu"
0x5d8D1d46760B4c502776aC637925eb4F0A290dc5,0x5c67F6C2fB28978d9e08c141d67121D28c3b0BA0,18,"SHIBARB","SHIBARB",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0xF4a738D9CaE344CEA4165f335d478493a7946f24,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0x86A1012d437BBFf84fbDF62569D12d4FD3396F8c,18,"Arbys","ARBYS"
0x6F6BA3571A607E62F4B7F722E019925269E90f5A,0xf97f4df75117a78c1A5a0DBb814Af92458539FB4,18,"ChainLink Token","LINK",0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,6,"USD Coin (Arb1)","USDC"
0xEc1E2B352f29adc8f0854dEe2dC557d2763DbfBe,0xf97f4df75117a78c1A5a0DBb814Af92458539FB4,18,"ChainLink Token","LINK",0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,6,"Tether USD","USDT"
0xbdEE369abf5C3dfFF5DC65841e939747BA706a5d,0x2f2a2543B76A4166549F7aaB2e75Bef0aefC5B0f,8,"Wrapped BTC","WBTC",0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,6,"Tether USD","USDT"
0x9dA6793652c1cA6b00244fa8D7e2ad4eDfb2dDDf,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xB9a1220D2ECF5b67aE5E431158CEA9ef1F9e782c,18,"ArbiRockets | t.me/ArbiRockets","ArbiRockets"
0x1449019596b04Ed468e6f91B97450C16efdbF8C0,0x116D794c0bF31388470Fa66F21b83C5B74dA1Ed8,18,"ArbiInu","AINU",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0x39796A2e6D55f76dD62f3CAa0aDC1D19d38EaA5D,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xCC142C536D628b4e039b473C93fd2a18456852D7,9,"ArbMoonRocket","ARBMOON"
0xFf13348778cc2cEd614F6F73A8e488AC11292f25,0x2f2a2543B76A4166549F7aaB2e75Bef0aefC5B0f,8,"Wrapped BTC","WBTC",0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,6,"USD Coin (Arb1)","USDC"
0x50C754499998A12e56fFf3cB8412a0B45B2C8DB0,0x2D33922b92790fe123EbE5337EfAA37E4ED44d0D,18,"t.me/ArbInuToken","ArbInu",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0x12E1E5C836a3BD3CD8F7Ca2c6E7fE277FACFEBdA,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xf809c8F8fb601112A5A3e7DF94fA1dE893E8d361,18,"ForeverArbi","FAR"
0x26274e0dB149c847dF7A3cf1FDe9E93522A42d72,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xd786cA0a3f6Caa22938CD751B905C39f84555BCB,9,"AkitaArbi","AkitaArbi"
0x33C8E8666fa53DD6973137E4626b76Df3bA0b1b8,0x478046eD00d58D1D842f2Ea3CebC2E4431aF6AAE,9,"ArbiTron","ArbiTron",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0x96E4943164dEd0D375316c4a0a1eBD65265ae4c2,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xecC22Dd5fFD4B5B602063A083dD4FC04c21AB4ce,18,"ArbiPika","ArbiPika"
0x9055eF41dE2B110370D0cDa23725E3725d44b79a,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xd17DaBA85cad55b14e4cB973f55267D9004cbf28,9,"@MiniArbi","MiniArbi"
0xDc4A9E1d98eD5089Fd4347D167D613BA8e2023dB,0x75e63d4369A4B60eeDbD0E08ee19e2ff07EF3E7E,9,"ArbInu","ARBINU",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0x4C46DEe7a1e6E8B9abc04efB4c6c5ad2bae133a2,0x791A6119e7eA8853ED0DEc66dDF21bde655bC809,18,"ArbiDog","ARBIDOG",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0x139A0F02c3f4dcc37b55B59675FcCabC1257fC0C,0x69A1A27A7dCf5bF6B72077d275D54f52d741F79d,9,"@SafeArbi","SafeArbi",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0xcC2D169F278d05A684aC6cfBd119Ce91Fde35582,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xc01e7a228b2AA715b586c9E0b112C623CfeCE804,18,"sixpackfinance.org","SIXP"
0xa84b39c81d5e1E3D970236Fb7a11b4Fc8c7bcEDC,0x55786251B74586E1938188a1489fa7f756B20AE5,18,"RiseArbi","RISE",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0xF659E3558bbD4e31c0ED9048c3507ec9E809b295,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xB085325C4e2DC801d92373101dEF754148fc843B,18,"ArbInu","aInu"
0x000f65a091bAc5c5F823eD479505b6810067CCb7,0x405DE6d35134ee6dFd2075c97FFBDBe2110629bf,18,"BabyArbitrum","BARB",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0xc6fBdECE3a5a5F136D57C9595aBd766E98094cF6,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xfAC53D9B8c807B448e576E8D70d161c0910f1021,18,"ArbiGoldPump","AGP"
0xb0a5B5649104Ccf27f9d14E23894c025C21fd4b5,0x631E77a55a6dDf7b9a95D5a1a1bCaB6D938C6747,0,"ArbiBomb","AriB",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0x6f078A9a30d7c698E93f35191d7035Eb64026675,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0x9D575a9bF57a5e24a99D29724B86ca021A2b0435,9,"Arbitrum Ethereum","ARBY"
0x3de97B7F4099307e8baF528D544D98580970401C,0x39654feebfB03912ef4f52013E2c2Ea0F9b505f5,18,"FEG ABITRUM","FEG",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0x304357CCf63B42B2B408241aE8348D2435537AAd,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xd83E49Cb6d7FdAEEAfAEF83f1fd5e411F0FC8E58,9,"FegArb","FegArb"
0x2D21171682A61a00f744eafBCa2Bc35aaB061D5B,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xA6Ae4e95b73b753C405274EA3aB3C1704c34e821,18,"ArbiMoon","ARBIMOON"
0xf06668b4fD42a528c2cc41A86B04d13De82B41c5,0x137598badA4fa1D7c76BfD906d8986c17D1067F8,18,"StaticShock","STS",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0x5BeDf047ee87d489890ae0016e7725f8f538dbF0,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xB61f5a8d65AbD06BB59914B7024b691445fE69c5,18,"ArbiApe","AAPE"
0xc90B87DBb92Bce76494717F43CA12C37d2ce4B72,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xEdc4b128b5e29365679a2795D42961Dd559f1248,9,"@ArbiMAX","ArbiMAX"
0x3ec938E54Beaf30804750F11d992Cc4751F08BDd,0x4bbA930a68Dd7fFefa4EAe3C90318Abc39Bf7Cc3,18,"arbitrum.art","ART",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0x6B984d94Df3b3635FbF7A837eC7f1E3394AbcD05,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xA312520c8Cdbd006E327fF77B7856486202F8524,9,"Arbitrum Hokkaido","AHOK"
0xC6a54E887ee4E591cFA65bEeCE34a3723451147B,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xDaec244a8cCd23A1FfCd882e1fdf81a210993DD8,9,"ArbitrUNI","aUNI"
0xa9ef69CAC80488eF05926023421214C98f22105d,0x1a7BD9EDC36Fb2b3c0852bcD7438c2A957Fd7Ad5,9,"ArbiMoon","aMoon",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0xDCe0A1F1c957142e13726fD363ba38f8c0533386,0x1E50f8112b8CC96482f39d2EB0EcEDB1D091c770,18,"AshibRussia","AShibRussia",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0x9329F9690d120eA2BC386F373fBc6BBEDDbB6138,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xB337E99E0fe700d4dC8F08056291cf1312071473,18,"BabyArbitrum","Barbi"
0x7a4464e9718301787D796f4CD96222Cd75eEe66F,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0x89C9A25dBB1d54E69F3EA8a3be86f23e8A7bf950,18,"babydogedoge.com","BABYDOGE"
0xfC1aCF07202f6fac951947427b79284d86a965d2,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xdE31e75182276738B0c025daa8F80020A4F2fbFE,18,"Honey Token","HONEY"
0x48D0AAbCEb0C2352eE6b52B3322C18B6C486139D,0x4a94a7A2cC80e4588c3DA64a1D95e1Cef9DB0C82,18,"ArbSHIBAMOON","ArbSHIBAMOON",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0x1A941389AE404Ca75C3fF67cAC8B7b626b0d6703,0x07CfEc95dd2b8F237024d43230B93a748604cc7f,18,"coconutfinance.com","XCOCO",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0x8D8415E8F9fd6E7d0a1E6CAD05F52dc83fB80aD2,0x72ce55c986854F4ef3Bd6d2AD524F172f6d3A6c4,18,"StaticShock","STS",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0xBDbF0454064Ae22d40A835F0Edf5aaF2B1f49535,0x432fb7718623A19Ccb38279372A17B481148138E,9,"ArbiTerrier","TERRIER",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0xd8b2bC1310F9aDEb8f112B7aB8D52dd1Ad08B176,0x70b0d0a92Ef014769Bea320Dd458FF2Ab0FD3d91,18,"ArbitrumSpace","ArbitrumSpace",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0xfA435e4514cf2b9E20622304F561B27BbdD99f64,0x5eB68E97DBf992D353A781cC173BfB3b54914061,18,"Twige","TWIGE",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0x19e36518D9381F43FcBe24A5c322c6D672893eC7,0x7F2A71fD207471Eaab56090893B9D344e11Fd52d,5,"Arbi Nova","ARBNOVA",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0x19d566afe0F7cbf0EeB2F9bcb6f0DffAa8c9DA29,0x41Cc0F6b87bB61e7789aa3908c1e929B9bBCCb85,9,"ArbiSwap","ArbiSwap",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0xcC74cACbD083f10F84370F9f1aAd1479cdE134A2,0x6B8D0dcB55D333A86D26a70875b54499063C87d5,9,"@FlokiArbi","FlokiArbi",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0x5e9b0F68267dc68273a839E51ECeC4a0324Cd3B8,0x577c0c99a6a7B1a1e165beEb9B569a219ABF1d9d,18,"ElonArbiRockets","ElonArbiRockets",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0x72D471a9Ee112Ba4Cd2032968824F9F45A342E1f,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0x908Ab6258757761FE5a86853A2690501Ce39dF3b,5,"Alaska Arbi","ALARBI"
0xd56c89de821A98A3E3A7b5EBF818Ea84A1cB77e5,0x68F143bf19227A32f7a85E99805A17FdA003B530,9,"t.me/BArbiTrump","BArbiTrump",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0x541F00D41947ECc5F08f08D7D68833C3B1951186,0xdE31e75182276738B0c025daa8F80020A4F2fbFE,18,"Honey Token","HONEY",0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9,6,"Tether USD","USDT"
0x3101836cD04E1981eC1225fFE39BD1206664C4bB,0xdE31e75182276738B0c025daa8F80020A4F2fbFE,18,"Honey Token","HONEY",0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,6,"USD Coin (Arb1)","USDC"
0xcaa349163Db81941b88dE8D8e37786053363Fcc7,0x7734648e49aEA3d92B3B0240Da3E6DF37b195313,18,"lizardfinance.com","LZ",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0x1599A242062A59bf3C7A01f2943adB28415be69A,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xDE529c9C92539c30cA82CdD102aeD8e86326E08f,5,"Arbi Charts","aCHARTS"
0x39FAD1C9DbDA7623b22717f54407734d016a3bc9,0x155f0DD04424939368972f4e1838687d6a831151,18,"ArbiDoge","ADoge",0xdE31e75182276738B0c025daa8F80020A4F2fbFE,18,"Honey Token","HONEY"
0x41f6c51f0Ca52279380bE89B4F7c1dF082d30FeD,0x1a7BD9EDC36Fb2b3c0852bcD7438c2A957Fd7Ad5,9,"ArbiMoon","aMoon",0xdE31e75182276738B0c025daa8F80020A4F2fbFE,18,"Honey Token","HONEY"
0x3Cf3147BeDf97A1181C980a4811889c0059E4ae9,0x48482bF68B4c963EE415b477f66a437b63958045,18,"ArbiBull","ABull",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0xA9E1aEfF84b76b22ca388d729C3C349f18e78594,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xE4E02d69dfACC482DbFBCB4F5F173bC378422717,9,"ArbiMars","aMars"
0x3bd4c01C8033E20DE9720C3e21Df31619802b66e,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xb689223f7935Cdb5b74f329e018C498AdfA15a93,18,"t.me/arbidogenft","DOG"
0x6F79a090D5B398A4E4DCcB9063654831E06ae799,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xD116Cd4c14677D05b8a376C02f115808B00AD3e0,18,"ArbiMars","ArbiMars"
0x54B9B260016990be64869dbC738763354f6ECF65,0x13a1C16A36dC5cba6Aff21Cb6839021C86f671B1,18,"ArbMars (https://t.me/arbmars)","ArbMars",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0x7f729C2088792E01Cf0727a058061D3061e70997,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xC57b5F6A04ec9C5Be8Be17275D715134FF33D2Eb,18,"ArbiMars","AMARS"
0xA4dE11129EbDE3b5F62a26D6113BF31D1D09e7FD,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0x93F0eaf9bCAa00AC25dA90F41683671Fc5cae805,5,"ArBee.info","ArBEE"
0xda7424E032fBD5C1BC0C418E84479d74043668EB,0x955b9fe60a5b5093df9Dc4B1B18ec8e934e77162,18,"Swapr","SWPR",0xdE31e75182276738B0c025daa8F80020A4F2fbFE,18,"Honey Token","HONEY"
0x0b8495404505Cc0e6f0d5Ff2d074Dc92901053ff,0xd4d42F0b6DEF4CE0383636770eF773390d85c61A,18,"SushiToken","SUSHI",0xdE31e75182276738B0c025daa8F80020A4F2fbFE,18,"Honey Token","HONEY"
0x893Eb19369821158A5025C50cc460004940C6f11,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xc4e3CAAE443f60D5c0af6eB2a0Fc5c8720372E5B,18,"UniArbi","UniArbi"
0x1714f6fD1Dfb20b3956bf7aa66e0869a63a2aA1F,0x06B293afBeFE36084B04B1ff4f6E93ecCEA87Be3,18,"Arbi Husky","HUSKY",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0xd3b81aBDEcf5787f1F342B33f3ac2C258c9e6BfE,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xB0b8bD4EffC083493C704b522B81e464661bf1b3,9,"@BArbeeToken","BArbee"
0x125cbe478f28D4Fc6E9bDDefa9Cb583B9de0Fc6B,0xdE31e75182276738B0c025daa8F80020A4F2fbFE,18,"Honey Token","HONEY",0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,18,"GMX","GMX"
0x05C6F695Ad50C16299BEdCa3Fe9059B56550082f,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,18,"GMX","GMX"
0x88fd103681a8D864A73c25a2295f13EFCDa1d40A,0x6FA81f74228b06b7956Bfa80382e309E4B3b4946,18,"ArbiApu","APU",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0x2211727770aFa868e970b506bC824Dc6B36dB571,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xF4Bb5B75DDc4807F9adF3a5e92a87f0223D0bEa0,18,"ArbiTesla","ARBITESLA"
0xcc5C23EB73131d7438BcEd913229BC1804a493B2,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xA779021dab790b31DcdB7CAEc09145A75D65881E,9,"MidasArbi","MARBI"
0x9237061Ec47174Ac2249551115033166957AbB21,0x0061137E491C7B823707e38B33bfA063edD2d3CA,18,"Arbinauts","aNAUT",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0x7039b6EC246acB69FBc792303873116388DC4082,0x6FA81f74228b06b7956Bfa80382e309E4B3b4946,18,"ArbiApu","APU",0xdE31e75182276738B0c025daa8F80020A4F2fbFE,18,"Honey Token","HONEY"
0x6Fd357858D5Bf7F447a63c363893C44E3744534c,0xdE31e75182276738B0c025daa8F80020A4F2fbFE,18,"Honey Token","HONEY",0xf97f4df75117a78c1A5a0DBb814Af92458539FB4,18,"ChainLink Token","LINK"
0xB3AE4FB013e28aAC76CE6f24b2FcC4b6AB558FCb,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xF6D9C76250d4B6bb78546D504ea0CcCdc6968e5E,18,"ArbiNYAN","NYAN"
0x3e264b35a6e2701284565cE5DcB22F9bE5cbdA3F,0x323eFC77CE28613e4ac46A0D7a7e0779AD6163db,18,"ArbiNYAN","NYAN",0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH"
0xA39C61B6c60e9422BC3CB6098075252A821Ef4b6,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xe39D87E2C35F3ff4D19C11EcFD9ca72af6Eae8E9,18,"Green Laika","GNL"
0x70Df9Dd83be2a9F9Fcc58Dd7C00d032d007b7859,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,18,"Wrapped Ether","WETH",0xeD3fB761414DA74b74F33e5c5a1f78104b188DfC,18,"ArbiNYAN","NYAN"
